State etc.,Population density,Population,Land area (m2)
 District of Columbia,11011,"672,228",61
 New Jersey,1218,"8,958,013","7,354"
 Puerto Rico,1046,"3,680,058","3,515"
 Rhode Island,1021,"1,056,298","1,034"
 Massachusetts,871,"6,794,422","7,800"
 Guam,808,"169,885",210
 US Virgin Islands,799,"106,906",134
 Connecticut,741,"3,590,886","4,842"
 American Samoa,721,"55,538",77
 Maryland,618,"6,006,401","9,707"
 Delaware,485,"945,934","1,949"
 New York,420,"19,795,791","47,126"
 Florida,378,"20,271,272","53,625"
 Northern Mariana Islands,307,"55,070",179
 Pennsylvania,286,"12,802,503","44,743"
 Ohio,284,"11,614,373","40,861"
 California,251,"39,144,818","155,959"
 Illinois,231,"12,859,995","55,519"
 Hawaii,222,"1,431,603","6,423"
 Virginia,212,"8,382,993","39,490"
 North Carolina,206,"10,042,802","48,618"
 Indiana,184,"6,619,680","35,826"
 Georgia,177,"10,214,860","57,513"
 Michigan,175,"9,922,576","56,539"
 South Carolina,162,"4,896,146","30,061"
 Tennessee,160,"6,600,299","41,235"
 New Hampshire,148,"1,330,608","8,953"
 Kentucky,112,"4,425,092","39,486"
 Louisiana,108,"4,670,724","43,204"
 Washington,107,"7,170,351","66,456"
 Wisconsin,106,"5,771,337","54,158"
 Texas,105,"27,469,114","261,232"
 Alabama,95,"4,858,979","50,645"
 Missouri,88,"6,083,672","68,742"
 West Virginia,76,"1,844,128","24,038"
 Minnesota,68,"5,489,594","79,627"
 Vermont,67,"626,042","9,217"
 Mississippi,63,"2,992,333","46,923"
 Arizona,60,"6,828,065","113,594"
 Arkansas,57,"2,978,204","52,035"
 Oklahoma,57,"3,911,338","68,595"
 Iowa,55,"3,123,899","55,857"
 Colorado,52,"5,456,574","103,642"
 Maine,43,"1,329,328","30,843"
 Oregon,41,"4,028,977","95,988"
 Utah,36,"2,995,919","82,170"
 Kansas,36,"2,911,641","81,759"
 Nevada,26,"2,890,845","109,781"
 Nebraska,24,"1,896,190","76,824"
 Idaho,20,"1,654,930","82,643"
 New Mexico,17,"2,085,109","121,298"
 South Dakota,11,"858,469","75,811"
 North Dakota,10,"756,927","69,001"
 Montana,7,"1,032,949","145,546"
 Wyoming,6,"586,107","97,093"
 Alaska,1,"738,432","570,641"
